tempo_s,custo,bound,gap_pct
2696.0,846.9982663,820.2541,3.1575231454520347
2702.0,846.9982663,820.2589,3.156956438270801
2705.0,846.9982663,820.26412,3.1563401442112147
2712.0,846.9982663,820.2729,3.1553035423255515
2715.0,846.9982663,820.27564,3.1549800469762785
2721.0,846.9982663,820.28455,3.153928096771122
2726.0,846.9982663,820.29134,3.1531264422376735
2733.0,846.9982663,820.29735,3.15241687762117
2735.0,846.9982663,820.30344,3.1516978678849905
2741.0,846.9982663,820.30655,3.1513306888571537
2746.0,846.9982663,820.30893,3.1510496965464596
2753.0,846.9982663,820.32064,3.149667167152256
2756.0,846.9982663,820.32758,3.1488478030193985
2760.0,846.9982663,820.33193,3.148334224636405
2767.0,846.9982663,820.33835,3.14757625378152
2773.0,846.9982663,820.34208,3.1471358750761054
2778.0,846.9982663,820.34845,3.1463838074210235
2782.0,846.9982663,820.35528,3.1455774303277297
2786.0,846.9982663,820.36,3.1450201682661865
2793.0,846.9982663,820.36918,3.1439363407820857
2795.0,846.9982663,820.37364,3.1434097753595287
2803.0,846.9982663,820.37762,3.1429398806550988
2806.0,846.9982663,820.3834,3.142257470757695
2813.0,846.9982663,820.3894,3.141549086781163
2817.0,846.9982663,820.3938,3.1410296051983666
2821.0,846.9982663,820.39569,3.140806464245771
2825.0,846.9982663,820.39902,3.1404133111387935
2833.0,846.9982663,820.40863,3.1392787161363684
2836.0,846.9982663,820.41031,3.1390803686229427
2840.0,846.9982663,820.41277,3.1387899311925587
2847.0,846.9982663,820.41716,3.1382716302497333
2856.0,846.9982663,820.42155,3.137753329306895
2860.0,846.9982663,820.42724,3.1370815451691523
2869.0,846.9982663,820.43292,3.1364109416713677
3231.0,846.9982663,820.43906,3.1356860287353716
3238.0,846.9982663,820.44573,3.134898541881458
3244.0,846.9982663,820.4483,3.13459511741151
3251.0,846.9982663,820.45138,3.1342314803035607
3257.0,846.9982663,820.4565,3.13362699264358
3264.0,846.9982663,820.46104,3.133090982101333
3290.0,846.9982663,820.46364,3.1327840157114974
3295.0,846.9982663,820.46607,3.1324971202010135
3302.0,846.9982663,820.4742,3.131537259912802
3307.0,846.9982663,820.47804,3.1310838941678236
3311.0,846.9982663,820.48025,3.1308229727364676
3318.0,846.9982663,820.48677,3.1300531954819633
3322.0,846.9982663,820.48992,3.1296812938942815
3329.0,846.9982663,820.49487,3.129096877113639
3333.0,846.9982663,820.49963,3.1285348924922505
3337.0,846.9982663,820.50373,3.1280508301082857
3343.0,846.9982663,820.50765,3.1275880192436167
3347.0,846.9982663,820.51233,3.1270354797419184
3350.0,846.9982663,820.51621,3.1265773914370945
3355.0,846.9982663,820.51888,3.1262621605675402
3362.0,846.9982663,820.52829,3.125151178364341
3365.0,846.9982663,820.53161,3.124759205897321
3373.0,846.9982663,820.54012,3.1237544812906015
3376.0,846.9982663,820.54362,3.123341257304286
3380.0,846.9982663,820.54744,3.122890252839223
3387.0,846.9982663,820.55386,3.122132281984338
3390.0,846.9982663,820.55754,3.121697806478726
3396.0,846.9982663,820.56412,3.120920945384461
3400.0,846.9982663,820.56669,3.1206175209145126
3406.0,846.9982663,820.56993,3.120234993567183
3412.0,846.9982663,820.57988,3.119060256806095
3416.0,846.9982663,820.58448,3.118517162424087
3420.0,846.9982663,820.5868,3.1182432539531537
3427.0,846.9982663,820.5945,3.117334161183267
3430.0,846.9982663,820.60002,3.1166824479248625
3437.0,846.9982663,820.6073,3.1158229420333288
3441.0,846.9982663,820.60857,3.115673000758298
3445.0,846.9982663,820.61426,3.115001216620555
3452.0,846.9982663,820.61675,3.114707237270284
